International Financial Analysis - MSc
University of Glasgow
Adam Smith Business School
International Financial Analysis aims to develop your awareness and understanding of international finance and financial analysis, preparing you for some of the most competitive financial analysis and investment positions in the global
Please see the university website for further information on fees for this course.
MSc
1 year full-time
Glasgow
United Kingdom
https://www.findamasters.com/masters-degrees/course/international-financial-analysis-msc/?i307d7918c21565
On Campus
