Accountancy & Controlling MSc
University of Groningen
Economics and Business
How can you ensure that shareholders and managers receive the right information? How do modern-day developments, such as IT and Corporate Social Responsibility, affect the provision of information?
Please see the university website for further information on fees for this course.
MSc
1 year full time
Groningen
Netherlands
https://www.findamasters.com/masters-degrees/course/accountancy-and-controlling-msc/?i1114d7097c57582
On Campus
