Russian, East European and Eurasian Studies - MSc/PgDip
University of Glasgow
College of Social Sciences
This is an advanced and progressive programme that presents you with a unique opportunity to understand historical and contemporary developments in the economy, politics, culture, and society of Russia and the countries of Eastern Europe and Eurasia.
Please see the university website for further information on fees for this course.
PGDip, MSc
1 year full-time; 2 years part-time
Glasgow
United Kingdom
https://www.findamasters.com/masters-degrees/course/russian-east-european-and-eurasian-studies-msc-pgdip/?i307d4959c47695
On Campus
