Evolutionary Language Science
University of Zurich
Department of Comparative Language Science
Language Science from an Evolutionary PerspectiveThe interdisciplinary Master's program of the Department of Comparative Language Science at University of Zurich aims to understand language as a central cognitive faculty of humans, especially in comparison to other species.
Please see the university website for further information on fees for this course.
MSc, MA
2 years
Zurich
Switzerland
https://www.findamasters.com/masters-degrees/course/evolutionary-language-science/?i377d8404c60596
On Campus
